N_obs,SNR,L,rep,oracle_l2_to_rkhs_mean_cos2
15,0.5,3,196,0.6905292522910833
15,0.5,1,197,0.9407946449335179
15,0.5,2,197,0.9650957026628555
15,0.5,3,197,0.8322316122130125
15,0.5,1,198,0.8774378188898353
15,0.5,2,198,0.9315459376279689
15,0.5,3,198,0.9834431579989596
15,0.5,1,199,0.8425397872530985
15,0.5,2,199,0.5142443582875381
15,0.5,3,199,0.8881624072220099
15,1.0,1,0,0.8441348407146323
15,1.0,2,0,0.9333733102929866
15,1.0,3,0,0.7788488170267946
15,1.0,1,1,0.5571932028871444
15,1.0,2,1,0.7193464129845809
15,1.0,3,1,0.9808459989613391
15,1.0,1,2,0.4826539274571501
15,1.0,2,2,0.7042091083034219
15,1.0,3,2,0.9061529122687747
15,1.0,1,3,0.9414978977385975
15,1.0,2,3,0.9493011543187488
15,1.0,3,3,0.8252404145110397
15,1.0,1,4,0.8524620589103704
15,1.0,2,4,0.7512082304297356
15,1.0,3,4,0.9790683374046701
15,1.0,1,5,0.5402137742990144
15,1.0,2,5,0.6475669268811199
15,1.0,3,5,0.9377203600743803
15,1.0,1,6,0.24528239516307923
15,1.0,2,6,0.8881895412651366
15,1.0,3,6,0.9884859047190985
15,1.0,1,7,0.7311508614810546
15,1.0,2,7,0.7246402398798311
15,1.0,3,7,0.8444163127087512
15,1.0,1,8,0.8439219901809839
15,1.0,2,8,0.9065374707989622
15,1.0,3,8,0.974220144596404
15,1.0,1,9,0.7935827260261651
15,1.0,2,9,0.9386107239014048
15,1.0,3,9,0.8868118616392802
15,1.0,1,10,0.661560118359537
15,1.0,2,10,0.8423079541212143
15,1.0,3,10,0.9876294397077575
15,1.0,1,11,0.9167530230449855
15,1.0,2,11,0.5662170352172724
15,1.0,3,11,0.8956462598928057
15,1.0,1,12,0.9116782186697819
15,1.0,2,12,0.9523791642737958
15,1.0,3,12,0.8078599510812948
15,1.0,1,13,0.951869566924944
15,1.0,2,13,0.9441930981609991
15,1.0,3,13,0.7276368029305789
15,1.0,1,14,0.7665654673578278
15,1.0,2,14,0.7919821658870483
15,1.0,3,14,0.9299118228802964
15,1.0,1,15,0.8999312545051571
15,1.0,2,15,0.8074267457278357
15,1.0,3,15,0.9450424020982937
15,1.0,1,16,0.9023149104154387
15,1.0,2,16,0.6916676913613901
15,1.0,3,16,0.8904256283172088
15,1.0,1,17,0.3264841626300377
15,1.0,2,17,0.9417477827973195
15,1.0,3,17,0.9776390466528554
15,1.0,1,18,0.6092525350895179
15,1.0,2,18,0.9864082117487217
15,1.0,3,18,0.7094224491200092
15,1.0,1,19,1.560343662373117e-05
15,1.0,2,19,0.6773678793233959
15,1.0,3,19,0.9339991778077804
15,1.0,1,20,0.489702760633923
15,1.0,2,20,0.4686720601923871
15,1.0,3,20,0.6873714638562847
15,1.0,1,21,0.9837103939480235
15,1.0,2,21,0.9388645470084274
15,1.0,3,21,0.7267341790104488
15,1.0,1,22,0.9548638558815291
15,1.0,2,22,0.92941066840511
15,1.0,3,22,0.9765169665726088
15,1.0,1,23,0.18564427755718077
15,1.0,2,23,0.9289218527232656
15,1.0,3,23,0.7166131775825219
15,1.0,1,24,0.6516613139162941
15,1.0,2,24,0.6928467280286904
15,1.0,3,24,0.9939473853413089
15,1.0,1,25,0.8668699127900248
15,1.0,2,25,0.9529514657054834
15,1.0,3,25,0.9056980808931215
15,1.0,1,26,0.0917881843772924
15,1.0,2,26,0.48914093795361135
15,1.0,3,26,0.9914955103488369
15,1.0,1,27,0.6393153100329001
