N_obs,SNR,L,rep,oracle_l2_to_rkhs_mean_cos2
15,0.5,3,156,0.8616917691374186
15,0.5,1,157,0.8674562237645989
15,0.5,2,157,0.8646775575305504
15,0.5,3,157,0.910406471166417
15,0.5,1,158,0.7974405718079576
15,0.5,2,158,0.7527700496994045
15,0.5,3,158,0.8839034793318156
15,0.5,1,159,0.904360427207602
15,0.5,2,159,0.5192930521311276
15,0.5,3,159,0.921562654525551
15,0.5,1,160,0.8027976156826486
15,0.5,2,160,0.9244978558501111
15,0.5,3,160,0.6883436568832585
15,0.5,1,161,0.8156353034884535
15,0.5,2,161,0.907872217397512
15,0.5,3,161,0.9741253624899041
15,0.5,1,162,0.8711276695038732
15,0.5,2,162,0.7586855080701969
15,0.5,3,162,0.9838000905798334
15,0.5,1,163,0.8543250102898431
15,0.5,2,163,0.8026602714978833
15,0.5,3,163,0.9687252681597545
15,0.5,1,164,0.9804798031044101
15,0.5,2,164,0.9304798910728553
15,0.5,3,164,0.9366836854397175
15,0.5,1,165,0.6950408046977996
15,0.5,2,165,0.7084830898023068
15,0.5,3,165,0.9260893494569622
15,0.5,1,166,0.6159274420711309
15,0.5,2,166,0.8037325489776374
15,0.5,3,166,0.9954896636802765
15,0.5,1,167,0.8399398701404169
15,0.5,2,167,0.8716314763740773
15,0.5,3,167,0.8901710109536093
15,0.5,1,168,0.6991751319410648
15,0.5,2,168,0.5483234277882553
15,0.5,3,168,0.9715163492259856
15,0.5,1,169,0.2046106089134603
15,0.5,2,169,0.8023394075110323
15,0.5,3,169,0.7981438267249983
15,0.5,1,170,0.9495500006628087
15,0.5,2,170,0.9530605355807047
15,0.5,3,170,0.8266689433812937
15,0.5,1,171,0.7075936101108741
15,0.5,2,171,0.8381250715518584
15,0.5,3,171,0.9509814546254179
15,0.5,1,172,0.9030968227481948
15,0.5,2,172,0.9303406520782073
15,0.5,3,172,0.9554583204410053
15,0.5,1,173,0.6589727847777717
15,0.5,2,173,0.9490855830329648
