N_obs,SNR,L,target,method,metric,mean,ci_low,ci_high
30,1.0,3,OracleRKHS,L2,function_mean_cos2,0.7850201451794168,0.771541198918259,0.7984990914405745
30,1.0,3,OracleRKHS,RKHS,function_mean_cos2,0.8163235966248946,0.8037906891600478,0.8288565040897414
30,1.0,3,OracleL2,L2,function_mean_cos2,0.9629353890765338,0.9559934858626271,0.9698772922904404
30,1.0,3,OracleL2,RKHS,function_mean_cos2,0.8659175868713953,0.8513249646757246,0.880510209067066
30,2.0,1,OracleRKHS,L2,function_mean_cos2,0.6159005834751234,0.5803544211779006,0.6514467457723463
30,2.0,1,OracleRKHS,RKHS,function_mean_cos2,0.8965845873329519,0.8820110334102974,0.9111581412556063
30,2.0,1,OracleL2,L2,function_mean_cos2,0.971845957007767,0.9653868709207616,0.9783050430947724
30,2.0,1,OracleL2,RKHS,function_mean_cos2,0.7917287936799566,0.7591081351803272,0.8243494521795861
30,2.0,2,OracleRKHS,L2,function_mean_cos2,0.7441386811827858,0.7248975321780399,0.7633798301875317
30,2.0,2,OracleRKHS,RKHS,function_mean_cos2,0.8770544544753537,0.857659581291044,0.8964493276596633
30,2.0,2,OracleL2,L2,function_mean_cos2,0.9860742885297827,0.9809185040184216,0.9912300730411439
30,2.0,2,OracleL2,RKHS,function_mean_cos2,0.858038654898209,0.8386293370957427,0.8774479727006752
30,2.0,3,OracleRKHS,L2,function_mean_cos2,0.8153108859554653,0.800981852567013,0.8296399193439176
30,2.0,3,OracleRKHS,RKHS,function_mean_cos2,0.8647387333019418,0.8422250593423225,0.8872524072615612
30,2.0,3,OracleL2,L2,function_mean_cos2,0.9839301133913387,0.9798386670477165,0.988021559734961
30,2.0,3,OracleL2,RKHS,function_mean_cos2,0.8808810846233418,0.8652340988827698,0.8965280703639138
50,0.5,1,OracleRKHS,L2,function_mean_cos2,0.2971651610519521,0.26540263949140785,0.3289276826124964
